2018年1月,02201 青森市,2018000101,Aomori,0.5,0.87,0.65,392,188,413,584,599,817,240,334,1489,124,172693,-0.9,76,66.6
2018年2月,02201 青森市,2018000202,Aomori,0.57,0.78,0.55,369,212,442,466,636,541,307,309,1040,158,189083,-1.9,79,85.3
2018年3月,02201 青森市,2018000303,Aomori,0.63,0.8,0.59,379,215,511,568,752,790,114,248,1465,272,161289,4.6,67,150.9
2018年4月,02201 青森市,2018000404,Aomori,0.56,0.76,0.55,358,184,459,569,603,1007,323,221,1144,264,145821,9.6,65,171.1
2018年5月,02201 青森市,2018000505,Aomori,0.52,0.74,0.58,341,203,463,326,476,1018,421,198,664,292,142284,14.2,71,200.9
2018年6月,02201 青森市,2018000606,Aomori,0.6,0.75,0.57,352,218,459,409,416,769,461,228,550,290,158811,17.8,75,172.1
2018年7月,02201 青森市,2018000707,Aomori,0.64,0.77,0.64,376,173,464,601,600,1799,138,125,955,292,137997,22.6,84,150
2018年8月,02201 青森市,2018000808,Aomori,0.57,0.82,0.68,361,200,449,951,469,2124,454,176,519,281,162205,22.8,78,157.6
2018年9月,02201 青森市,2018000909,Aomori,0.54,0.83,0.67,361,215,454,365,890,808,366,418,569,235,169954,20,75,167.2
2018年10月,02201 青森市,2018001010,Aomori,0.61,0.93,0.82,421,258,470,430,768,981,359,836,661,182,155142,14.2,75,154.5
2018年11月,02201 青森市,2018001111,Aomori,0.57,1.04,0.87,436,243,383,303,608,1030,525,603,1000,243,164879,8.3,75,154.5
2018年12月,02201 青森市,2018001212,Aomori,0.56,1.04,0.84,484,256,400,1243,1000,2251,573,546,919,323,207181,1.2,80,53.6
2019年1月,02201 青森市,2019000101,Aomori,0.47,1.03,0.86,450,193,461,689,385,807,304,737,722,197,167698,-0.6,77,36.6
2019年2月,02201 青森市,2019000202,Aomori,0.52,1.02,0.85,391,200,452,243,473,569,382,442,687,381,166431,0,74,83.3
2019年3月,02201 青森市,2019000303,Aomori,0.57,1,0.83,419,212,503,270,608,692,188,227,888,406,173820,3.8,70,140.5
2019年4月,02201 青森市,2019000404,Aomori,0.4,0.97,0.79,426,169,439,460,599,1158,232,144,912,655,164875,8.5,63,202.9
2019年5月,02201 青森市,2019000505,Aomori,0.46,0.88,0.75,436,170,440,332,453,1166,210,232,548,305,153654,15.8,63,282.7
2019年6月,02201 青森市,2019000606,Aomori,0.46,0.83,0.75,427,193,438,211,817,1457,247,311,894,416,158018,18.1,75,211.3
2019年7月,02201 青森市,2019000707,Aomori,0.52,0.86,0.79,422,153,401,335,729,1841,59,59,714,305,153428,22.1,80,203.4
2019年8月,02201 青森市,2019000808,Aomori,0.46,0.94,0.86,368,144,370,641,797,2061,283,201,694,388,161346,24.8,77,223.7
2019年9月,02201 青森市,2019000909,Aomori,0.51,0.92,0.86,393,205,390,705,1157,994,279,143,1654,315,137395,21.2,72,197.2
2019年10月,02201 青森市,2019001010,Aomori,0.52,0.89,0.81,375,206,386,221,556,419,199,53,857,237,127146,15.1,75,148.9
2019年11月,02201 青森市,2019001111,Aomori,0.44,0.91,0.83,349,220,470,267,1027,473,306,347,1384,264,152468,6.3,70,87.9
2019年12月,02201 青森市,2019001212,Aomori,0.5,0.81,0.73,390,205,445,1321,993,1599,299,586,1652,246,193662,2,77,59
2020年1月,02201 青森市,2020000101,Aomori,0.44,0.9,0.78,428,188,493,553,893,447,409,249,1390,253,160980,0.9,77,59.3
2020年2月,02201 青森市,2020000202,Aomori,0.45,0.89,0.78,378,187,546,447,801,608,224,230,1213,238,153333,1.2,76,80.2
2020年3月,02201 青森市,2020000303,Aomori,0.47,0.88,0.77,408,251,602,529,871,860,278,455,1657,283,155944,5.1,70,158.5
2020年4月,02201 青森市,2020000404,Aomori,0.53,0.96,0.83,431,227,563,468,598,771,248,440,1584,544,185539,7.8,69,139
2020年5月,02201 青森市,2020000505,Aomori,0.6,0.95,0.84,450,203,572,436,576,685,393,288,1609,600,152580,14.4,72,182.7
2020年6月,02201 青森市,2020000606,Aomori,0.72,0.94,0.82,415,194,535,376,591,1028,383,237,1437,671,157952,19.3,76,210
2020年7月,02201 青森市,2020000707,Aomori,0.63,0.92,0.82,416,181,487,582,529,1214,419,149,1140,740,154744,21.2,84,167.3
2020年8月,02201 青森市,2020000808,Aomori,0.61,0.98,0.87,423,171,445,438,728,1671,189,159,1540,973,212190,25.2,79,178.4
2020年9月,02201 青森市,2020000909,Aomori,0.64,0.96,0.83,412,186,484,569,413,729,367,228,1457,987,149891,21.3,78,172.8
2020年10月,02201 青森市,2020001010,Aomori,0.51,0.96,0.86,432,219,432,585,672,1009,296,350,1185,549,170948,13.7,74,127.6
2020年11月,02201 青森市,2020001111,Aomori,0.37,1,0.86,410,203,439,630,782,977,407,318,1333,607,182273,8,74,78.5
2020年12月,02201 青森市,2020001212,Aomori,0.26,1.03,0.86,469,275,449,1387,680,2399,601,281,2071,624,237623,0.6,81,44.6
2021年1月,02201 青森市,2021000101,Aomori,0.24,1.05,0.86,443,237,407,365,680,902,318,140,1733,387,180577,-1.9,80,54.6
2021年2月,02201 青森市,2021000202,Aomori,0.21,0.97,0.78,417,220,412,668,675,664,374,260,1049,297,151185,-0.7,79,65.2
2021年3月,02201 青森市,2021000303,Aomori,0.3,0.9,0.74,386,193,431,513,881,886,247,410,1929,368,176128,5.4,71,140.7
2021年4月,02201 青森市,2021000404,Aomori,0.34,0.81,0.68,411,229,441,390,631,903,216,100,1527,467,158961,9,64,215.3
2021年5月,02201 青森市,2021000505,Aomori,0.37,0.83,0.71,377,207,502,555,885,1042,354,109,1506,603,199384,14.4,73,174.5
2021年6月,02201 青森市,2021000606,Aomori,0.38,0.81,0.72,377,197,435,691,601,1236,175,264,946,527,150538,19.4,77,252.3
2021年7月,02201 青森市,2021000707,Aomori,0.38,0.76,0.7,371,140,382,356,642,1344,294,195,1388,651,146267,23.9,80,244.5
2021年8月,02201 青森市,2021000808,Aomori,0.64,0.68,0.62,364,129,393,637,409,2343,147,148,997,749,165040,23.5,81,148.7
2021年9月,02201 青森市,2021000909,Aomori,0.56,0.71,0.65,358,178,426,531,501,1700,324,418,855,677,132707,19.8,74,214.8
2021年10月,02201 青森市,2021001010,Aomori,0.58,0.73,0.69,325,198,414,554,546,976,329,361,1291,823,161917,13.9,77,131.2
2021年11月,02201 青森市,2021001111,Aomori,0.57,0.74,0.69,355,212,410,406,367,952,388,537,1079,639,155241,9,79,94.8
2018年1月,03201 盛岡市,2018000101,Morioka,0.86,0.76,0.61,609,217,487,381,331,1104,139,163,386,467,177008,-1.8,75,125.3
2018年2月,03201 盛岡市,2018000202,Morioka,0.68,0.86,0.68,623,292,541,391,469,1191,95,205,442,355,158689,-2.7,77,147
2018年3月,03201 盛岡市,2018000303,Morioka,0.64,0.8,0.66,639,274,564,277,419,646,91,249,718,598,181122,4,68,170.5
2018年4月,03201 盛岡市,2018000404,Morioka,0.56,0.8,0.67,625,279,524,559,522,865,15,561,877,529,171729,9.8,68,155.8
2018年5月,03201 盛岡市,2018000505,Morioka,0.52,0.84,0.72,621,351,500,387,721,1153,72,208,1014,416,154702,15.4,69,171.9
2018年6月,03201 盛岡市,2018000606,Morioka,0.56,0.75,0.63,647,353,552,487,666,1065,88,129,803,374,152628,19.2,74,146.2
2018年7月,03201 盛岡市,2018000707,Morioka,0.57,0.81,0.67,611,249,598,380,631,1588,67,264,1068,218,163344,24.7,81,157.1
2018年8月,03201 盛岡市,2018000808,Morioka,0.56,0.77,0.65,601,248,531,530,582,2098,44,252,976,255,158112,23.3,80,145.8
2018年9月,03201 盛岡市,2018000909,Morioka,0.55,0.76,0.63,589,264,587,1044,609,969,108,344,1188,332,142441,19.2,84,120.3
2018年10月,03201 盛岡市,2018001010,Morioka,0.64,0.77,0.64,620,274,591,560,568,930,67,332,980,216,150423,13.6,80,162.3
2018年11月,03201 盛岡市,2018001111,Morioka,0.63,0.77,0.63,598,292,590,468,695,802,332,733,1012,168,154124,7,80,141.3
2018年12月,03201 盛岡市,2018001212,Morioka,0.62,0.82,0.67,587,277,566,1211,599,2058,262,484,1044,309,205881,0.8,76,134.6
2019年1月,03201 盛岡市,2019000101,Morioka,0.68,0.85,0.68,662,284,553,672,481,1139,162,488,968,274,182742,-1.1,72,142
2019年2月,03201 盛岡市,2019000202,Morioka,0.7,0.86,0.7,582,264,525,668,698,1063,8,327,978,414,175355,-0.1,70,124.8
2019年3月,03201 盛岡市,2019000303,Morioka,0.76,0.88,0.74,611,258,611,657,562,1021,92,209,601,369,198934,3.9,67,156.5
2019年4月,03201 盛岡市,2019000404,Morioka,0.66,0.92,0.73,615,227,583,769,544,1065,66,196,1106,325,164136,8.1,68,187.8
2019年5月,03201 盛岡市,2019000505,Morioka,0.72,0.85,0.7,590,215,556,796,522,1169,103,365,739,444,196558,16.4,62,274
